"Nom valide";"Nom vernaculaire";"Dernière obs.";"Statut*";
"Tachybaptus ruficollis (Pallas, 1764)";"Grèbe castagneux";"2019";"P";
"Anas platyrhynchos Linnaeus, 1758";"Canard colvert";"2020";"P";
"Phalacrocorax carbo (Linnaeus, 1758)";"Grand Cormoran";"2021";"P";
"Ardea cinerea Linnaeus, 1758";"Héron cendré";"2020";"P";
"Ciconia ciconia (Linnaeus, 1758)";"Cigogne blanche";"2017";"P";
"Actitis hypoleucos (Linnaeus, 1758)";"Chevalier guignette";"2020";"P";
"Buteo buteo (Linnaeus, 1758)";"Buse variable";"2020";"P";
"Falco tinnunculus Linnaeus, 1758";"Faucon crécerelle";"2020";"P";
"Falco subbuteo Linnaeus, 1758";"Faucon hobereau";"2020";"P";
"Cygnus olor (Gmelin, 1789)";"Cygne tuberculé";"2021";"P";
"Anser anser (Linnaeus, 1758)";"Oie cendrée";"2020";"P";
"Branta canadensis (Linnaeus, 1758)";"Bernache du Canada";"2020";"I";
"Milvus migrans (Boddaert, 1783)";"Milan noir";"2020";"P";
"Circus cyaneus (Linnaeus, 1766)";"Busard Saint-Martin";"2020";"P";
"Accipiter nisus (Linnaeus, 1758)";"Épervier d'Europe";"2020";"P";
"Falco peregrinus Tunstall, 1771";"Faucon pèlerin";"2020";"P";
"Gallinula chloropus (Linnaeus, 1758)";"Gallinule poule-d'eau,Poule-d'eau";"2021";"P";
"Charadrius dubius Scopoli, 1786";"Petit Gravelot";"2013";"P";
"Larus canus Linnaeus, 1758";"Goéland cendré";"2021";"P";
"Larus fuscus Linnaeus, 1758";"Goéland brun";"2018";"P";
"Larus argentatus Pontoppidan, 1763";"Goéland argenté";"2020";"P";
"Sterna hirundo Linnaeus, 1758";"Sterne pierregarin";"2021";"P";
"Columba livia Gmelin, 1789";"Pigeon biset";"2021";"P";
"Columba oenas Linnaeus, 1758";"Pigeon colombin";"2021";"P";
"Columba palumbus Linnaeus, 1758";"Pigeon ramier";"2022";"P";
"Streptopelia decaocto (Frivaldszky, 1838)";"Tourterelle turque";"2020";"P";
"Psittacula krameri (Scopoli, 1769)";"Perruche à collier";"2021";"I";
"Apus apus (Linnaeus, 1758)";"Martinet noir";"2020";"P";
"Alcedo atthis (Linnaeus, 1758)";"Martin-pêcheur d'Europe";"2021";"P";
"Upupa epops Linnaeus, 1758";"Huppe fasciée";"2020";"P";
"Picus viridis Linnaeus, 1758";"Pic vert,Pivert";"2020";"P";
"Dendrocopos major (Linnaeus, 1758)";"Pic épeiche";"2020";"P";
"Dendrocopos minor (Linnaeus, 1758)";"Pic épeichette";"2020";"P";
"Alauda arvensis Linnaeus, 1758";"Alouette des champs";"2020";"P";
"Hirundo rustica Linnaeus, 1758";"Hirondelle rustique,Hirondelle de cheminée";"2020";"P";
"Anthus pratensis (Linnaeus, 1758)";"Pipit farlouse";"2020";"P";
"Anthus spinoletta (Linnaeus, 1758)";"Pipit spioncelle";"2020";"P";
"Motacilla flava Linnaeus, 1758";"Bergeronnette printanière";"2021";"P";
"Motacilla cinerea Tunstall, 1771";"Bergeronnette des ruisseaux";"2021";"P";
"Parus major Linnaeus, 1758";"Mésange charbonnière";"2020";"P";
"Sitta europaea Linnaeus, 1758";"Sittelle torchepot";"2019";"P";
"Certhia brachydactyla C.L. Brehm, 1820";"Grimpereau des jardins";"2021";"P";
